player_id,season,award,all_nba_team
201939,2017,all_star,
201939,2017,ring,
201939,2018,all_nba,3
201939,2018,all_star,
201939,2018,ring,
201939,2019,all_nba,1
201939,2019,all_star,
201939,2021,all_nba,1
201939,2021,all_star,
201939,2022,all_nba,2
201939,2022,all_star,
201939,2022,finals_mvp,
201939,2022,ring,
201939,2023,all_nba,2
201939,2023,all_star,
201939,2024,all_nba,3
201939,2024,all_star,
201939,2025,all_nba,2
201939,2025,all_star,
201939,2026,all_star,
203507,2017,all_nba,2
203507,2017,all_star,
203507,2018,all_nba,2
203507,2018,all_star,
203507,2019,all_nba,1
203507,2019,all_star,
203507,2019,mvp,
203507,2020,all_nba,1
203507,2020,all_star,
203507,2020,dpoy,
203507,2020,mvp,
203507,2021,all_nba,1
203507,2021,all_star,
203507,2021,finals_mvp,
203507,2021,ring,
203507,2022,all_nba,1
203507,2022,all_star,
203507,2023,all_nba,1
203507,2023,all_star,
203507,2024,all_nba,1
203507,2024,all_star,
203507,2025,all_nba,1
203507,2025,all_star,
203507,2026,all_star,
203999,2019,all_nba,1
203999,2019,all_star,
203999,2020,all_nba,2
203999,2020,all_star,
203999,2021,all_nba,1
203999,2021,all_star,
203999,2021,mvp,
203999,2022,all_nba,1
203999,2022,all_star,
203999,2022,mvp,
203999,2023,all_nba,2
203999,2023,all_star,
203999,2023,finals_mvp,
203999,2023,ring,
203999,2024,all_nba,1
203999,2024,all_star,
203999,2024,mvp,
203999,2025,all_nba,1
203999,2025,all_star,
203999,2026,all_nba,1
203999,2026,all_star,
600015,1961,all_nba,1
600015,1961,all_star,
600015,1962,all_nba,1
600015,1962,all_star,
600015,1963,all_nba,1
600015,1963,all_star,
600015,1964,all_nba,1
600015,1964,all_star,
600015,1964,mvp,
600015,1965,all_nba,1
600015,1965,all_star,
600015,1966,all_nba,1
600015,1966,all_star,
600015,1967,all_nba,1
600015,1967,all_star,
600015,1968,all_nba,1
600015,1968,all_star,
600015,1969,all_nba,1
600015,1969,all_star,
600015,1970,all_nba,2
600015,1970,all_star,
600015,1971,all_nba,2
600015,1971,all_star,
600015,1971,ring,
600015,1972,all_star,
