player_id,season,team_abbr,gp,mp,pts,trb,ast,fgm,fga,ftm,fta,fg3m,fg3a,stl,blk,tov,po_gp,po_mp,po_pts,po_trb,po_ast,team_srs,ws
1449,1985,BOS,80,3161,2295,842,531,918,1760,403,457,56,131,129,98,248,20,815,520,182,115,6.467,15.7
1449,1986,BOS,82,3113,2115,805,557,796,1606,441,492,82,194,166,51,266,18,770,466,168,148,9.0578,15.8
1449,1987,BOS,74,3005,2076,682,566,786,1497,414,455,90,225,135,70,240,23,1015,622,231,165,6.5767,15.2
1449,1988,BOS,76,2965,2275,703,467,881,1672,415,453,98,237,125,57,213,17,763,417,150,115,6.154,15.0
1449,1989,BOS,6,189,116,37,29,49,104,18,19,0,0,6,5,11,,,,,,1.2598,0.5
1449,1990,BOS,75,2944,1820,712,562,718,1517,319,343,65,195,106,61,243,5,207,122,46,44,3.2272,9.5
1449,1991,BOS,60,2277,1164,509,431,462,1017,163,183,77,198,108,58,187,10,396,171,72,65,5.2123,6.6
1449,1992,BOS,45,1662,908,434,306,353,758,150,162,52,128,42,33,125,4,107,45,18,21,3.4157,5.5
1495,1998,SAS,82,3204,1731,977,224,706,1287,319,482,0,10,55,206,279,9,374,186,81,17,3.2995,12.8
1495,1999,SAS,50,1963,1084,571,121,418,845,247,358,1,7,45,126,146,17,733,395,195,48,7.1203,8.7
1495,2000,SAS,74,2875,1716,918,234,628,1281,459,603,1,11,66,165,242,,,,,,5.9254,13.0
1495,2001,SAS,82,3174,1820,997,245,702,1406,409,662,7,27,70,192,242,13,526,317,188,49,7.917,13.2
1495,2002,SAS,82,3329,2089,1042,307,764,1504,560,701,1,10,61,203,263,9,380,248,130,45,6.2731,17.8
1495,2003,SAS,81,3181,1884,1043,316,714,1392,450,634,6,22,55,237,248,24,1021,593,369,127,5.65,16.5
1495,2004,SAS,69,2527,1538,859,213,592,1181,352,588,2,12,62,185,183,10,405,221,113,32,7.5124,13.1
1495,2005,SAS,66,2203,1342,732,179,517,1042,305,455,3,9,45,174,127,23,869,542,286,63,7.8351,11.2
1495,2006,SAS,80,2784,1485,881,253,574,1185,335,533,2,5,70,162,198,13,493,336,137,43,6.6897,10.8
1495,2007,SAS,80,2726,1599,846,273,618,1131,362,568,1,9,66,190,224,20,736,444,229,65,8.3472,13.0
1495,2008,SAS,78,2651,1508,881,218,585,1178,338,463,0,4,56,152,178,17,666,343,247,56,5.1039,11.1
1495,2009,SAS,75,2523,1450,800,264,558,1107,334,483,0,2,38,126,165,5,164,99,40,16,3.3613,10.1
1495,2010,SAS,78,2438,1395,788,246,561,1082,271,374,2,11,45,117,140,10,373,190,99,26,5.0722,10.9
1495,2011,SAS,76,2156,1022,678,203,419,838,184,257,0,4,50,146,122,6,212,76,63,16,5.8633,7.7
1495,2012,SAS,58,1634,895,520,132,361,733,173,249,0,4,38,88,97,14,463,243,131,39,7.2777,5.9
1495,2013,SAS,69,2078,1227,686,184,490,976,245,300,2,7,50,183,147,21,735,381,214,40,6.6692,8.3
1495,2014,SAS,74,2158,1119,721,220,444,906,231,316,0,5,43,139,159,23,752,374,211,45,7.994,7.4
1495,2015,SAS,77,2227,1070,704,230,419,819,230,311,2,7,63,151,131,7,250,125,78,23,6.337,9.6
1495,2016,SAS,61,1536,522,447,163,215,441,92,131,0,2,47,78,90,10,218,59,48,14,10.2766,5.2
1717,1999,DAL,47,958,385,162,47,136,336,99,128,14,68,29,27,73,,,,,,-2.5006,0.8
1717,2000,DAL,82,2938,1435,532,203,515,1118,289,348,116,306,63,68,141,,,,,,-0.2839,8.1
1717,2001,DAL,82,3125,1784,754,173,591,1247,451,538,151,390,79,101,156,10,399,234,81,14,4.603,14.6
1717,2002,DAL,76,2891,1779,755,186,600,1258,440,516,139,350,83,77,145,8,357,227,105,18,4.4126,13.4
1717,2003,DAL,80,3117,2011,791,239,690,1489,483,548,148,390,111,82,152,17,722,430,196,37,7.9058,16.1
1717,2004,DAL,77,2914,1680,670,207,605,1310,371,423,99,290,92,104,135,5,212,133,59,7,4.8613,11.5
1717,2005,DAL,78,3020,2032,757,240,663,1445,615,708,91,228,97,119,176,13,551,308,131,43,5.8529,15.6
1717,2006,DAL,81,3089,2151,728,226,751,1564,539,598,110,271,58,83,156,23,983,620,268,67,5.9627,17.7
1717,2007,DAL,78,2820,1916,693,263,673,1341,498,551,72,173,52,62,167,6,239,118,68,14,7.2757,16.3
1717,2008,DAL,77,2769,1817,659,266,630,1314,478,544,79,220,51,71,160,5,211,134,60,20,4.7027,12.9
1717,2009,DAL,81,3050,2094,681,197,774,1616,485,545,61,170,61,63,157,10,394,268,101,31,1.6832,10.9
1717,2010,DAL,81,3039,2027,620,218,720,1496,536,586,51,121,70,79,149,6,233,160,49,18,2.6695,12.3
1717,2011,DAL,73,2504,1681,513,190,610,1179,395,443,66,168,38,47,137,21,826,582,171,53,4.4076,11.1
1717,2012,DAL,62,2079,1342,418,136,473,1034,318,355,78,212,42,30,117,4,154,107,25,7,1.7823,7.6
1717,2013,DAL,53,1661,917,363,132,343,728,166,193,65,157,38,37,70,,,,,,-0.2366,5.0
1717,2014,DAL,80,2628,1735,498,216,633,1273,338,376,131,329,73,45,117,7,263,134,56,11,2.9022,10.9
1717,2015,DAL,77,2282,1333,457,143,487,1062,255,289,104,274,39,33,82,5,181,106,52,12,3.3642,7.2
1717,2016,DAL,75,2364,1372,489,132,498,1112,250,280,126,342,52,52,84,5,170,102,24,8,-0.0162,6.8
1717,2017,DAL,54,1424,769,353,82,296,678,98,112,79,209,30,38,51,,,,,,-2.5237,2.5
1717,2018,DAL,77,1900,927,438,120,346,758,97,108,138,337,43,45,51,,,,,,-2.7003,4.8
1717,2019,DAL,51,795,373,158,35,135,376,39,50,64,205,9,18,18,,,,,,-0.8618,0.3
2544,2004,CLE,79,3120,1654,432,465,622,1492,347,460,63,217,130,58,273,,,,,,-3.0662,5.1
2544,2005,CLE,80,3388,2175,588,577,795,1684,477,636,108,308,177,52,262,,,,,,0.2704,14.3
2544,2006,CLE,79,3361,2478,556,521,875,1823,601,814,127,379,123,66,260,13,604,400,105,76,2.17,16.3
2544,2007,CLE,78,3190,2132,526,470,772,1621,489,701,99,310,125,55,250,20,893,501,161,159,3.3286,13.7
2544,2008,CLE,75,3027,2250,592,539,794,1642,549,771,113,359,138,81,255,13,552,366,102,99,-0.5243,15.2
2544,2009,CLE,81,3054,2304,613,587,789,1613,594,762,132,384,137,93,241,14,580,494,128,102,8.6804,20.3
2544,2010,CLE,76,2966,2258,554,651,768,1528,593,773,129,387,125,77,261,11,460,320,102,84,6.1734,18.5
2544,2011,MIA,79,3063,2111,590,554,758,1485,503,663,92,279,124,50,284,21,922,497,176,123,6.756,15.6
2544,2012,MIA,62,2326,1683,492,387,621,1169,387,502,54,149,115,50,213,23,983,697,224,129,5.7194,14.5
2544,2013,MIA,76,2877,2036,610,551,765,1354,403,535,103,254,129,67,226,23,960,596,193,152,7.031,19.3
2544,2014,MIA,77,2902,2089,533,488,767,1353,439,585,116,306,121,26,270,20,763,548,141,95,4.1459,15.9
2544,2015,CLE,69,2493,1743,416,511,624,1279,375,528,120,339,109,49,272,20,844,601,226,169,4.0795,10.4
2544,2016,CLE,76,2709,1920,565,514,737,1416,359,491,87,282,104,49,249,21,822,552,200,160,5.4521,13.6
2544,2017,CLE,74,2795,1954,639,646,736,1344,358,531,124,342,92,44,303,18,744,591,164,141,2.8754,12.9
2544,2018,CLE,82,3026,2251,709,747,857,1580,388,531,149,406,116,71,347,22,922,748,200,198,0.5936,14.0
2544,2019,LAL,55,1937,1505,465,454,558,1095,278,418,111,327,72,33,197,,,,,,-1.3242,7.2
2544,2020,LAL,67,2316,1698,525,684,643,1303,264,381,148,425,78,36,261,21,762,580,226,184,6.4423,9.8
2544,2021,LAL,45,1504,1126,346,350,422,823,178,255,104,285,48,25,168,6,224,140,43,48,2.7649,5.6
2544,2022,LAL,56,2084,1695,459,349,640,1221,254,336,161,448,73,59,196,,,,,,-3.0819,7.5
2544,2023,LAL,55,1954,1590,457,375,609,1219,251,327,121,377,50,32,178,16,619,392,158,104,0.4268,5.6
2544,2024,LAL,71,2504,1822,518,589,685,1269,303,404,149,363,89,38,245,5,204,139,34,44,1.0733,8.5
2544,2025,LAL,70,2444,1710,546,575,651,1270,259,331,149,396,70,39,260,5,204,127,45,28,1.4494,7.7
2544,2026,LAL,60,1989,1256,364,432,473,919,233,316,77,243,72,35,179,10,384,232,67,73,1.6842,5.4
76003,1970,MIL,82,3534,2361,1190,337,938,1810,485,743,,,,,,10,435,352,168,41,4.2527,13.8
76003,1971,MIL,82,3288,2596,1311,272,1063,1843,470,681,,,,,,14,577,372,238,35,11.9122,22.3
76003,1972,MIL,81,3583,2822,1346,370,1159,2019,504,732,,,,,,11,510,316,200,56,10.6989,25.4
76003,1973,MIL,76,3254,2292,1224,379,982,1772,328,460,,,,,,6,276,137,97,17,7.8364,21.9
76003,1974,MIL,81,3548,2191,1178,386,948,1759,295,420,,,112,283,,16,758,515,253,78,7.6128,18.4
76003,1975,MIL,65,2747,1949,912,264,812,1584,325,426,,,65,212,,,,,,,0.2543,12.9
76003,1976,LAL,82,3379,2275,1383,413,914,1728,447,636,,,119,338,,,,,,,0.1712,17.0
76003,1977,LAL,82,3016,2152,1090,319,888,1533,376,536,,,101,261,,11,467,381,195,45,2.6462,17.8
76003,1978,LAL,62,2265,1600,801,269,663,1205,274,350,,,103,185,208,3,134,81,41,11,2.5891,12.1
